symbol,entry_date,exit_date,pnl,pnl_pct,reason,motor,days_held
SOFI,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,0.44246336224918537,0.02482037883736108,rebalance,regime_hold_cash,7
TQQQ,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,-0.16848044630221182,-0.009451061626100245,rebalance,regime_hold_cash,7
TSLA,2026-05-13 00:00:00+00:00,2026-05-20 00:00:00+00:00,-1.1213949151475333,-0.06290565275001683,rebalance,regime_hold_cash,7
AMD,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,1.8930566421221222,0.10715402833013116,rebalance,regime_hold_cash,7
BB,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,7.03818000533413,0.39838709677419365,rebalance,regime_hold_cash,7
F,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,3.5547190996334344,0.2012102874432677,rebalance,regime_hold_cash,7
NOK,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,2.672053928437208,0.1512481644640235,rebalance,regime_hold_cash,7
PLTR,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,-0.5976917686490992,-0.03383157127232973,rebalance,regime_hold_cash,7
SOFI,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,0.5404722494245675,0.030592734225621636,rebalance,regime_hold_cash,7
TQQQ,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,1.1914795860647978,0.06744216442295133,rebalance,regime_hold_cash,7
TSLA,2026-05-20 00:00:00+00:00,2026-05-27 00:00:00+00:00,0.9780483671710982,0.0553611657000433,rebalance,regime_hold_cash,7
AMD,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,1.8795675062745225,0.0948056665455866,rebalance,regime_hold_cash,7
BB,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,3.452879975698284,0.17416378316032285,rebalance,regime_hold_cash,7
F,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,-0.21223746793758025,-0.010705289672543965,rebalance,regime_hold_cash,7
NOK,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,1.327598867193597,0.06696428571428574,rebalance,regime_hold_cash,7
PLTR,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,1.4497688210578978,0.07312655648630285,rebalance,regime_hold_cash,7
SOFI,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,0.6252933192669374,0.03153988868274566,rebalance,regime_hold_cash,7
